hex,year,occ_den,sp_richness,sp_evenness
85195c7bfffffff,2011,1565,680,0.959300899500109
85195c4bfffffff,2011,2836,1100,0.9029603967764404
85195e97fffffff,2011,3924,1054,0.8533857004699451
85195c4ffffffff,2011,3528,1138,0.9428547743447095
85195c47fffffff,2011,3574,1289,0.9334779622505739
85195eabfffffff,2011,798,387,0.9678680672838785
85195eb3fffffff,2011,1162,578,0.9446755491985852
85195ea3fffffff,2011,1425,483,0.8941238827594487
85195eb7fffffff,2011,2082,811,0.9288048603787975
85195c0bfffffff,2011,1180,415,0.8991439688173406
85195c43fffffff,2011,1286,558,0.9295688458783484
85195ea7fffffff,2011,1849,631,0.8351897629381065
85195c73fffffff,2011,3995,1402,0.88000088799416
85195c57fffffff,2011,1834,690,0.8882669313773844
85195eaffffffff,2011,315,163,0.9750585529948669
85195c5bfffffff,2011,1745,824,0.9383321032833197
85195c63fffffff,2011,6547,1262,0.80689997755672
85195c6bfffffff,2011,1315,664,0.9153535981189094
85195ccbfffffff,2011,2323,308,0.78327773461301
85195c53fffffff,2011,975,496,0.8883859024348193
85195127fffffff,2011,592,195,0.9007355137268844
8519512ffffffff,2011,204,144,0.9689298733324799
85195e93fffffff,2011,38,28,0.9322438594131321
85195e83fffffff,2011,8,6,0.967132018086354
85195e87fffffff,2011,7,6,0.9755037590061084
85195ccffffffff,2011,809,327,0.9283232886980759
85195123fffffff,2011,4167,461,0.8681284696687652
85194ad3fffffff,2011,4490,222,0.8139111530830186
8519590bfffffff,2011,3877,638,0.8899392943806299
85195d77fffffff,2011,5958,741,0.7839160295490067
85195d73fffffff,2011,5977,883,0.7616280492105643
85194a97fffffff,2011,1050,257,0.7630255715963197
85194a83fffffff,2011,1693,406,0.8461465762298418
85194e2ffffffff,2011,1687,453,0.8980747216599274
8518740ffffffff,2011,609,116,0.8167909964031566
8519421bfffffff,2011,334,154,0.9419178764147794
85194e27fffffff,2011,1848,335,0.8260911530518913
851942cffffffff,2011,1778,567,0.9162550896911196
85194eb3fffffff,2011,1043,359,0.9477600553430229
85194113fffffff,2011,3037,912,0.9326167663013097
85195903fffffff,2011,6085,516,0.7467621027938872
85195983fffffff,2011,773,84,0.7467503142918025
85195547fffffff,2011,452,196,0.8732342437131206
851942abfffffff,2011,10096,859,0.8184797767544614
85194a0bfffffff,2011,2437,327,0.722823509088388
85195d0ffffffff,2011,3807,450,0.7802549073676642
85194e07fffffff,2011,933,168,0.8487698956600641
8519597bfffffff,2011,4982,492,0.6992176248606977
85195da3fffffff,2011,5272,827,0.9010135384709631
85194843fffffff,2011,1430,223,0.7442991804300294
85195d6bfffffff,2011,1291,353,0.8424819083647757
85194e2bfffffff,2011,2250,280,0.7929297005950455
85194ecbfffffff,2011,4785,1245,0.8774849203890543
85194283fffffff,2011,1371,398,0.9250550167406723
85194ad7fffffff,2011,3348,451,0.8109117165975224
85195baffffffff,2011,514,154,0.9258068239182293
8519518bfffffff,2011,673,272,0.913604459309247
85194c5bfffffff,2011,9993,902,0.8451510838690763
85194adbfffffff,2011,6991,408,0.7838014049105848
85195da7fffffff,2011,5268,410,0.7738043237715896
85194e67fffffff,2011,1983,368,0.8915334944456844
851874b7fffffff,2011,4354,971,0.8844102002580998
85194ac3fffffff,2011,16276,324,0.7635581701895936
8519462ffffffff,2011,294,119,0.9198282108474795
85195ba7fffffff,2011,698,121,0.8065566760754184
85195c77fffffff,2011,5259,877,0.8873660266938311
851948cbfffffff,2011,1672,352,0.9122237025960168
851940dbfffffff,2011,1035,288,0.905753398358526
85194e6ffffffff,2011,3327,364,0.8537370974275098
85195573fffffff,2011,4616,261,0.626543622868209
85195b83fffffff,2011,6484,180,0.6297148878235912
85195883fffffff,2011,4042,884,0.9188975386685868
85194633fffffff,2011,1877,624,0.8951271333118499
85194a07fffffff,2011,6615,411,0.7274490893346635
85194e5bfffffff,2011,2476,374,0.7306651516661762
85195caffffffff,2011,4139,313,0.7458977780216235
85195d2ffffffff,2011,2182,325,0.8560378688331077
851958a3fffffff,2011,5167,640,0.8301652069151446
85194323fffffff,2011,2897,290,0.7667833637011386
8519732ffffffff,2011,1998,348,0.7913319893258014
85195cdbfffffff,2011,3675,376,0.7037388133078771
85195bbbfffffff,2011,4292,153,0.6331999200679835
85194a03fffffff,2011,2238,319,0.8258879471929943
851959b3fffffff,2011,4405,303,0.6482010971998924
85194a5bfffffff,2011,1773,464,0.9235614243201671
85195c0ffffffff,2011,3717,732,0.8321375279980048
85194a4bfffffff,2011,3038,296,0.6330592216657506
85195887fffffff,2011,3286,398,0.7130215673134366
851959bbfffffff,2011,3559,309,0.6847415510985021
8519598bfffffff,2011,4645,238,0.7373659756772525
85195943fffffff,2011,5076,220,0.6429801228469199
85194a73fffffff,2011,781,129,0.7920423903984896
85195d03fffffff,2011,1555,253,0.8269394078887282
85195577fffffff,2011,16370,1667,0.7177541445703631
85194acbfffffff,2011,5694,780,0.7567265405713295
85194147fffffff,2011,2179,220,0.8555313189038586
85195dcbfffffff,2011,1721,253,0.7508456739427377
85195913fffffff,2011,4881,331,0.7454085630739568
85195d53fffffff,2011,865,333,0.8456552766079581
8519582bfffffff,2011,8322,1211,0.8352042134760601
851955affffffff,2011,1835,561,0.9215714016674863
85195d3bfffffff,2011,3189,655,0.8031118229532705
85195bc7fffffff,2011,1795,420,0.7839835314601095
85194a0ffffffff,2011,3447,321,0.6954313602979819
85195867fffffff,2011,7339,896,0.7699296283120127
85195b97fffffff,2011,1035,119,0.7301761153058327
8519594bfffffff,2011,3914,159,0.6435543776364815
851959c7fffffff,2011,9213,499,0.6596942225905056
8519583bfffffff,2011,11633,1424,0.8726553697131989
85194e8bfffffff,2011,5528,817,0.854779510321411
85195963fffffff,2011,3074,92,0.6930596299420817
85194127fffffff,2011,30555,1641,0.8834774138838437
85194e83fffffff,2011,2503,449,0.8812775433310635
85195b1bfffffff,2011,8352,763,0.897138646391695
85194a57fffffff,2011,2275,169,0.7201024763204799
85195d17fffffff,2011,4034,392,0.6882031197458419
85195d07fffffff,2011,3431,365,0.6565721634927915
85194ed7fffffff,2011,6094,950,0.8751498155993591
85195d33fffffff,2011,2444,553,0.8045772854968549
85194a53fffffff,2011,2161,430,0.8161086664447529
85194ec3fffffff,2011,2284,452,0.8057727045604204
851946affffffff,2011,2394,754,0.9117750973327953
85195d1bfffffff,2011,1910,299,0.7399872779451757
8519410bfffffff,2011,3082,604,0.8801347843011527
85194327fffffff,2011,6532,387,0.772228513040838
85195c93fffffff,2011,1481,401,0.8924024220234467
85195877fffffff,2011,25176,2227,0.7951760386671359
85195d43fffffff,2011,1618,394,0.8713667728654274
85194a47fffffff,2011,2358,277,0.7035680620694114
85194217fffffff,2011,2130,505,0.8578847394328978
85195bb3fffffff,2011,2135,119,0.706032865210964
8519598ffffffff,2011,4374,298,0.6377554023543432
85194e4ffffffff,2011,5237,877,0.8523745136910773
851948c3fffffff,2011,628,174,0.8401112021541112
85195b4bfffffff,2011,2418,528,0.8817467558239542
8519595bfffffff,2011,2178,396,0.8962896215748127
8519591bfffffff,2011,6363,928,0.8601237416928272
85195c37fffffff,2011,3781,431,0.7168227660894182
85194267fffffff,2011,1620,524,0.9039520093137763
85195c2bfffffff,2011,10351,1000,0.8759380785424552
85195953fffffff,2011,2811,342,0.8056128296624258
85195b8bfffffff,2011,2273,147,0.7308900950216765
85195dbbfffffff,2011,3829,564,0.7563095193484016
85195d37fffffff,2011,3381,354,0.8258900940470011
85195bd7fffffff,2011,1177,222,0.7551184147950946
85195947fffffff,2011,6231,616,0.6649310165706777
85197323fffffff,2011,3187,637,0.8552723982762509
85195863fffffff,2011,9394,849,0.8097074956416836
85194653fffffff,2011,2075,352,0.7286425390003192
85195c83fffffff,2011,796,205,0.8798360313673864
85195563fffffff,2011,946,91,0.7290267216230585
851946abfffffff,2011,762,407,0.9232767851142342
85195bb7fffffff,2011,2147,210,0.7560136560249389
85194abbfffffff,2011,1155,330,0.8531317541081669
85195833fffffff,2011,8138,741,0.8412655420280879
85195987fffffff,2011,1985,206,0.6839029062917014
8519513bfffffff,2011,5171,480,0.8191628675498763
851958c7fffffff,2011,1171,101,0.6932162154353027
8519405bfffffff,2011,549,203,0.9287105603221157
85195c67fffffff,2011,3396,807,0.9155069052005815
85195b13fffffff,2011,2794,491,0.8564292417020836
851874abfffffff,2011,823,185,0.7767571016817991
85194657fffffff,2011,1612,220,0.8688749427890132
851943dbfffffff,2011,770,149,0.8468141393234986
851958cffffffff,2011,568,150,0.805833549802776
851874a3fffffff,2011,2082,747,0.9218626379000817
85195893fffffff,2011,3717,762,0.8522796360522557
85195d67fffffff,2011,4713,429,0.671905600117708
85195997fffffff,2011,1582,247,0.7272798389537628
85195827fffffff,2011,2670,601,0.873975077996463
85197333fffffff,2011,1469,307,0.827714865697428
85194117fffffff,2011,3765,611,0.8372381097841722
85195807fffffff,2011,3511,810,0.8494633794512965
85195d0bfffffff,2011,9022,796,0.7979491571008356
85195daffffffff,2011,3485,650,0.8560702029265773
85195b9bfffffff,2011,3351,223,0.7960953650364767
