gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,day,month,year,speciesKey
3694848351,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.034946,-5.672714,17/9/2018 0:00,17,9,2018,5229360
3694807321,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,54.96708,-1.362712,29/8/2021 0:00,29,8,2021,5229360
3693932345,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,51.149654,1.384311,2/10/2021 0:00,2,10,2021,5229360
3693862579,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.223267,-3.645916,9/8/2021 0:00,9,8,2021,5229360
3693804133,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.165672,-5.671305,14/8/2021 0:00,14,8,2021,5229360
3693521363,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.51802,-2.455292,9/10/2021 0:00,9,10,2021,5229360
3693484488,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.165672,-5.671305,26/8/2021 0:00,26,8,2021,5229360
3693385694,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.034946,-5.672714,5/8/2021 0:00,5,8,2021,5229360
3693121084,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,49.959644,-5.20627,27/8/2021 0:00,27,8,2021,5229360
3693033450,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.27733,-3.651323,28/9/2021 0:00,28,9,2021,5229360
3692879225,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,54.96708,-1.362712,2/9/2021 0:00,2,9,2021,5229360
3692851209,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,49.92043,-6.299252,6/10/2021 0:00,6,10,2021,5229360
3692730619,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.034946,-5.672714,6/8/2021 0:00,6,8,2021,5229360
3692050830,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,55.263138,-1.568441,13/9/2021 0:00,13,9,2021,5229360
3691328494,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.5167,-2.455273,28/8/2021 0:00,28,8,2021,5229360
3691219199,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.034946,-5.672714,8/8/2012 0:00,8,8,2012,5229360
3690859581,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.916733,0.964449,9/9/2016 0:00,9,9,2016,5229360
3690839630,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.165672,-5.671305,26/8/2021 0:00,26,8,2021,5229360
3690814576,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.165672,-5.671305,1/9/2014 0:00,1,9,2014,5229360
3690753609,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,54.14771,-0.167413,1/9/2021 0:00,1,9,2021,5229360
3690527668,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.165672,-5.671305,27/8/2021 0:00,27,8,2021,5229360
3690295249,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.165672,-5.671305,16/8/2021 0:00,16,8,2021,5229360
3690003148,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,54.118874,-0.11215,21/8/2021 0:00,21,8,2021,5229360
3689525397,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.034946,-5.672714,9/8/2012 0:00,9,8,2012,5229360
3688894487,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,50.165672,-5.671305,11/9/2021 0:00,11,9,2021,5229360
