year,hotspot,k_cluster,indicator,value
2011,1,1,occ,3.5964559828031782e-06
2011,1,1,sp_richness,5.0
2011,1,1,sp_evenness,0.9697238998682473
2011,2,1,occ,7.674651744669602e-06
2011,2,1,sp_richness,27.0
2011,2,1,sp_evenness,0.8175977743833844
2011,3,1,occ,4.027065666497338e-05
2011,3,1,sp_richness,66.0
2011,3,1,sp_evenness,0.9136766608608751
2011,4,1,occ,3.65988648317676e-06
2011,4,1,sp_richness,9.0
2011,4,1,sp_evenness,0.8467656864304006
2011,5,0,occ,9.51809201168806e-06
2011,5,0,sp_richness,2.0
2011,5,0,sp_evenness,0.8112781244591328
2011,6,1,occ,1.2818421538007015e-05
2011,6,1,sp_richness,5.0
2011,6,1,sp_evenness,0.8096568334164151
2011,7,1,occ,0.0020780450085355904
2011,7,1,sp_richness,144.0
2011,7,1,sp_evenness,0.8870879261528901
2011,8,1,occ,1.1269595880342373e-05
2011,8,1,sp_richness,22.0
2011,8,1,sp_evenness,0.9339997105414939
2011,9,1,occ,8.729812664930091e-06
2011,9,1,sp_richness,83.0
2011,9,1,sp_evenness,0.9761532516538861
2011,10,1,occ,2.1432962951575393e-06
2011,10,1,sp_richness,18.0
2011,10,1,sp_evenness,0.6888727451927241
2011,11,0,occ,1.8160297011923306e-06
2011,11,0,sp_richness,2.0
2011,11,0,sp_evenness,0.9182958340544894
2011,12,0,occ,6.000259988462005e-07
2011,12,0,sp_richness,1.0
2011,12,0,sp_evenness,0.0
2011,13,1,occ,4.793451300849017e-06
2011,13,1,sp_richness,102.0
2011,13,1,sp_evenness,0.9240629132013957
2012,1,1,occ,4.195865313270374e-06
2012,1,1,sp_richness,4.0
2012,1,1,sp_evenness,0.8322488896002306
2012,2,1,occ,3.683832837441409e-06
2012,2,1,sp_richness,10.0
2012,2,1,sp_evenness,0.8130295772129486
2012,3,1,occ,8.515142217374843e-05
2012,3,1,sp_richness,70.0
2012,3,1,sp_evenness,0.8815695605763179
2012,4,1,occ,4.2088694556532745e-06
2012,4,1,sp_richness,9.0
2012,4,1,sp_evenness,0.7458486253463279
2012,5,0,occ,4.75904600584403e-06
2012,5,0,sp_richness,1.0
2012,5,0,sp_evenness,0.0
2012,6,1,occ,1.2818421538007015e-05
2012,6,1,sp_richness,7.0
2012,6,1,sp_evenness,0.9708357627258162
2012,7,1,occ,0.002304372316428115
2012,7,1,sp_richness,162.0
2012,7,1,sp_evenness,0.8767529499026588
2012,8,1,occ,4.507838352136949e-06
2012,8,1,sp_richness,14.0
2012,8,1,sp_evenness,0.8608636452121985
2012,9,1,occ,8.833739006179258e-07
2012,9,1,sp_richness,12.0
2012,9,1,sp_evenness,0.9636983369426122
2012,10,1,occ,2.867382881359411e-06
2012,10,1,sp_richness,36.0
2012,10,1,sp_evenness,0.7683749093731653
2012,11,0,occ,0.0
2012,11,0,sp_richness,0.0
2012,11,0,sp_evenness,0.0
2012,12,0,occ,6.000259988462005e-07
2012,12,0,sp_richness,1.0
2012,12,0,sp_evenness,0.0
2012,13,1,occ,7.386272686308258e-06
2012,13,1,sp_richness,126.0
2012,13,1,sp_evenness,0.9169703312098875
2013,1,1,occ,4.195865313270374e-06
2013,1,1,sp_richness,6.0
2013,1,1,sp_evenness,0.9755037590061084
2013,2,1,occ,1.5349303489339204e-06
2013,2,1,sp_richness,8.0
2013,2,1,sp_evenness,0.9739760316291207
2013,3,1,occ,9.301572549552774e-05
2013,3,1,sp_richness,99.0
2013,3,1,sp_evenness,0.8817285607855149
2013,4,1,occ,2.7815137272143377e-05
2013,4,1,sp_richness,115.0
2013,4,1,sp_evenness,0.9048263642572766
2013,5,0,occ,2.379523002922015e-06
2013,5,0,sp_richness,1.0
2013,5,0,sp_evenness,0.0
2013,6,1,occ,3.703099555424249e-05
2013,6,1,sp_richness,21.0
2013,6,1,sp_evenness,0.9825847993461596
2013,7,1,occ,0.0021945866820026368
2013,7,1,sp_richness,169.0
2013,7,1,sp_evenness,0.8774972291081892
2013,8,1,occ,2.028527258461627e-05
2013,8,1,sp_richness,38.0
2013,8,1,sp_evenness,0.8732767344962583
2013,9,1,occ,1.0080855101169272e-05
2013,9,1,sp_richness,97.0
2013,9,1,sp_evenness,0.9483236674481764
2013,10,1,occ,4.9817157130688754e-06
2013,10,1,sp_richness,111.0
2013,10,1,sp_evenness,0.899361326890023
2013,11,0,occ,0.0
2013,11,0,sp_richness,0.0
2013,11,0,sp_evenness,0.0
2013,12,0,occ,2.400103995384802e-06
2013,12,0,sp_richness,4.0
2013,12,0,sp_evenness,1.0
2013,13,1,occ,8.236020871458765e-06
2013,13,1,sp_richness,133.0
2013,13,1,sp_evenness,0.9245968113607649
2014,1,1,occ,7.252852898653076e-05
2014,1,1,sp_richness,32.0
2014,1,1,sp_evenness,0.9579926271001333
2014,2,1,occ,2.1489024885074884e-06
2014,2,1,sp_richness,9.0
2014,2,1,sp_evenness,0.8559427152994471
2014,3,1,occ,0.00014847262305773014
2014,3,1,sp_richness,94.0
2014,3,1,sp_evenness,0.8709811912427212
2014,4,1,occ,2.8181125920461053e-05
2014,4,1,sp_richness,46.0
2014,4,1,sp_evenness,0.922413649718217
2014,5,0,occ,0.0
2014,5,0,sp_richness,0.0
2014,5,0,sp_evenness,0.0
2014,6,1,occ,2.8485381195571147e-05
2014,6,1,sp_richness,18.0
2014,6,1,sp_evenness,0.9884897434514174
2014,7,1,occ,0.002345471553930986
2014,7,1,sp_richness,163.0
