hotspot,k_cluster,indicator,value
1,1,occ,0.006801497672811277
1,1,sp_richness,7.912203162166992e-05
1,1,sp_evenness,0.6660467811304029
2,1,occ,0.000602153175886777
2,1,sp_richness,2.854970449017092e-05
2,1,sp_evenness,0.7733505353458848
3,1,occ,0.0006450084638224861
3,1,sp_richness,6.860926691069539e-05
3,1,sp_evenness,0.7510929082652112
4,1,occ,0.0006311474240238323
4,1,sp_richness,3.147502375532014e-05
4,1,sp_evenness,0.6870449729382412
5,2,occ,0.0014848223538233374
5,2,sp_richness,0.00011421710414025673
5,2,sp_evenness,0.8638797771706364
6,2,occ,0.0014655728625121356
6,2,sp_richness,0.00016948801811364833
6,2,sp_evenness,0.7972963601299041
7,2,occ,0.00480635877482209
7,2,sp_richness,0.00010697061815815827
7,2,sp_evenness,0.8188572378254542
8,1,occ,0.00018379686372122016
8,1,sp_richness,2.581761965314798e-05
8,1,sp_evenness,0.8313342978170272
9,1,occ,0.00018083183377355189
9,1,sp_richness,1.1068155343036365e-05
9,1,sp_evenness,0.7983045188389036
10,1,occ,3.9477200679726026e-05
10,1,sp_richness,8.138733228909034e-06
10,1,sp_evenness,0.7353539988093615
11,2,occ,0.0004600608576353904
11,2,sp_richness,4.903280193219293e-05
11,2,sp_evenness,0.8528189932514133
12,2,occ,0.0004692203310977288
12,2,sp_richness,7.140309386269785e-05
12,2,sp_evenness,0.8856314447418587
13,1,occ,0.0001845260866676833
13,1,sp_richness,5.512468995976369e-06
13,1,sp_evenness,0.7729049711446662
